word,category,risk_level,replace,note
提分,效果承诺,高,学习进步/能力提升/素养提升,涉及成绩承诺
保证提分,效果承诺,高,助力成长/提供支持,绝对承诺违规
突飞猛进,效果承诺,中,稳步提升/持续进步,
高分,效果承诺,高,良好表现/学习成果,
秒懂,效果承诺,中,更好理解/逐步掌握,
秒解,效果承诺,中,逐步理解/掌握方法,
X天突破,效果承诺,高,阶段性提升/持续优化,
攻克难题,效果承诺,中,理解重点/掌握方法,
一次通过,承诺类,高,逐步达成/系统学习,
包过,承诺类,高,提供学习支持,
必过,承诺类,高,持续学习支持,
押题,应试导向,高,重点梳理/内容解析,
押中,应试导向,高,重点解析,
必考,应试导向,高,重点内容,
必学,应试导向,中,核心内容,
升学,学科导向,高,成长路径/学习规划,
小升初,学科导向,高,学习过渡/能力衔接,
幼小衔接,学科导向,高,学习过渡/成长衔接,
名校,学科导向,高,优质发展路径,
状元,学科导向,高,优秀学习者,
考点,学科导向,中,重点内容,
真题,学科导向,中,经典案例/示例内容,
应试,学科导向,中,学习应用,
不学就落后,焦虑营销,高,提前准备更从容,
逆袭,焦虑营销,中,成长进阶/自我提升,
输在起跑线,焦虑营销,高,把握成长节奏,
再不报名就晚了,焦虑营销,高,建议尽早了解,
满班预警,焦虑营销,中,名额有限,
快速,夸大宣传,中,更高效,
轻松,夸大宣传,中,更有方法,
秒杀难题,夸大宣传,高,有效应对问题,
全部搞定,夸大宣传,中,系统掌握,
全面提升,夸大宣传,中,多维提升,
最好,极限词,高,优质/出色,
最强,极限词,高,更具优势,
顶级,极限词,高,高品质,
极致,极限词,高,持续优化,
完美,极限词,中,更完善,
无与伦比,极限词,高,独特体验,
第一,排名词,高,广受认可/受欢迎,
NO.1,排名词,高,优选品牌,
唯一,极限词,高,特有优势,
国家推荐,权威背书,高,广受关注,
专家推荐,权威背书,高,专业支持,
权威认证,权威背书,中,规范体系,
官方指定,权威背书,高,标准参考,
限今日,促销用语,高,限时开放（需具体时间）, 
最低价,促销用语,高,优惠方案,
免费领,促销用语,高,体验机会,
0元,促销用语,中,限时体验,
抢疯了,促销用语,中,广受欢迎,
错过不再,促销用语,高,建议尽早了解,
绝版,稀缺类,高,限量提供,
稀缺,稀缺类,中,名额有限,
千金难求,稀缺类,高,受欢迎,
不可复制,稀缺类,中,独特设计,
提前学,提前教学,高,提前了解,
早培,提前教学,高,兴趣培养,
超前学习,提前教学,高,适度拓展,
抢跑,提前教学,中,提前准备,
行业第一,排名词,高,行业认可,
销量第一,排名词,高,广受欢迎,
全国第一,排名词,高,多地用户选择,
TOP1,排名词,高,优选品牌
